# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
    49.75%     -0.80%  gzip                      [.] 0x000010e0
     1.41%     +0.49%  [kernel.kallsyms]         [k] arch_cpu_idle
     0.84%     -0.39%  [kernel.kallsyms]         [k] mb_find_buddy
     1.58%     +0.37%  [kernel.kallsyms]         [k] finish_task_switch
    11.75%     -0.37%  libarmmem-v7l.so          [.] 0x000004d0
     0.66%     -0.30%  [kernel.kallsyms]         [k] mb_find_order_for_block
     0.70%     -0.24%  [kernel.kallsyms]         [k] _find_first_zero_bit_le
     0.27%     +0.12%  [kernel.kallsyms]         [k] __softirqentry_text_start
     0.17%     +0.12%  [kernel.kallsyms]         [k] tick_nohz_idle_exit
     0.09%     +0.10%  [kernel.kallsyms]         [k] update_blocked_averages
     0.22%     -0.09%  [kernel.kallsyms]         [k] mb_find_extent
     2.56%     +0.09%  [kernel.kallsyms]         [k] _raw_spin_unlock_irqrestore
     0.09%     +0.08%  dash                      [.] 0x00001228
     0.16%     -0.08%  [kernel.kallsyms]         [k] ext4_mb_complex_scan_group
     1.49%     -0.08%  [kernel.kallsyms]         [k] arm_copy_to_user
     0.15%     +0.07%  [kernel.kallsyms]         [k] __filemap_get_folio
     0.04%     +0.06%  [kernel.kallsyms]         [k] run_timer_softirq
     0.01%     +0.05%  libavahi-common.so.3.5.3  [.] 0x00002148
     0.32%     -0.04%  [kernel.kallsyms]         [k] start_this_handle
     1.55%     -0.04%  [kernel.kallsyms]         [k] arm_copy_from_user
     0.13%     -0.04%  [kernel.kallsyms]         [k] __es_remove_extent
     0.02%     +0.04%  [kernel.kallsyms]         [k] __kmap_local_page_prot
     0.20%     -0.04%  [kernel.kallsyms]         [k] __ext4_check_dir_entry
     0.35%     +0.04%  [kernel.kallsyms]         [k] __find_get_block
     0.54%     +0.04%  [kernel.kallsyms]         [k] __filemap_add_folio
     0.28%     -0.03%  [kernel.kallsyms]         [k] kmem_cache_free
     0.14%     -0.03%  [kernel.kallsyms]         [k] xas_start
     0.95%     +0.03%  tar                       [.] 0x00002b5c
     0.02%     +0.03%  [kernel.kallsyms]         [k] atime_needs_update
     0.00%     +0.03%  [kernel.kallsyms]         [k] mb_update_avg_fragment_size
     0.12%     -0.03%  [kernel.kallsyms]         [k] __slab_free
     0.12%     -0.03%  [kernel.kallsyms]         [k] generic_perform_write
     0.19%     -0.03%  [kernel.kallsyms]         [k] _clear_bit
     0.05%     -0.03%  [kernel.kallsyms]         [k] up_write
     0.06%     +0.03%  [kernel.kallsyms]         [k] __brelse
     0.04%     +0.02%  [kernel.kallsyms]         [k] update_sd_lb_stats.constprop.0
     0.18%     -0.02%  [kernel.kallsyms]         [k] jbd2_journal_stop
     0.28%     -0.02%  [kernel.kallsyms]         [k] get_page_from_freelist
     0.10%     +0.02%  [kernel.kallsyms]         [k] ext4_inode_journal_mode
     0.05%     +0.02%  [kernel.kallsyms]         [k] ext4_nonda_switch
     0.05%     +0.02%  [kernel.kallsyms]         [k] __sched_text_start
     0.03%     +0.02%  [kernel.kallsyms]         [k] _nohz_idle_balance.constprop.0
     0.05%     -0.02%  [kernel.kallsyms]         [k] new_slab
     0.07%     -0.02%  [kernel.kallsyms]         [k] ext4_mb_check_limits
     0.11%     +0.02%  [kernel.kallsyms]         [k] mod_node_page_state
     0.09%     -0.02%  [kernel.kallsyms]         [k] xas_descend
     0.04%     +0.02%  [kernel.kallsyms]         [k] _copy_from_iter
     0.16%     +0.02%  [kernel.kallsyms]         [k] queue_work_on
     0.41%     -0.02%  [kernel.kallsyms]         [k] ext4_mark_iloc_dirty
     0.18%     -0.02%  [kernel.kallsyms]         [k] __alloc_pages
     0.12%     -0.02%  [kernel.kallsyms]         [k] jbd2_write_access_granted
     0.05%     +0.02%  [kernel.kallsyms]         [k] ext4_search_dir
     0.11%     +0.02%  [kernel.kallsyms]         [k] link_path_walk.part.0
     0.03%     -0.02%  [kernel.kallsyms]         [k] folio_add_lru
     0.15%     -0.02%  [kernel.kallsyms]         [k] copy_page_from_iter_atomic
     0.05%     +0.02%  [kernel.kallsyms]         [k] __blk_rq_map_sg
     0.08%     -0.02%  [kernel.kallsyms]         [k] mpage_map_and_submit_extent
     0.17%     +0.02%  [kernel.kallsyms]         [k] kunmap_local_indexed
     0.05%     +0.02%  [kernel.kallsyms]         [k] queue_delayed_work_on
     0.10%     -0.02%  [kernel.kallsyms]         [k] ext4_reserve_inode_write
     0.03%     +0.02%  [kernel.kallsyms]         [k] _test_and_clear_bit
     0.06%     -0.02%  [kernel.kallsyms]         [k] call_rcu
     0.08%     +0.02%  [kernel.kallsyms]         [k] ext4_ext_map_blocks
     0.01%     +0.02%  [kernel.kallsyms]         [k] ledtrig_cpu
     0.03%     +0.02%  [kernel.kallsyms]         [k] __get_task_ioprio
     0.06%     +0.02%  rm                        [.] 0x00001334
     0.03%     +0.02%  [kernel.kallsyms]         [k] ktime_get
     0.11%     +0.02%  [kernel.kallsyms]         [k] v7_dma_inv_range
     0.04%     +0.02%  [kernel.kallsyms]         [k] __bio_try_merge_page
     0.02%     +0.02%  [kernel.kallsyms]         [k] d_alloc_parallel
     0.17%     +0.02%  [kernel.kallsyms]         [k] _set_bit
     0.59%     -0.02%  [kernel.kallsyms]         [k] ext4_fill_raw_inode
     0.02%     +0.02%  [kernel.kallsyms]         [k] writeback_sb_inodes
     0.17%     +0.02%  [kernel.kallsyms]         [k] ext4_get_group_desc
     0.06%     -0.02%  [kernel.kallsyms]         [k] __folio_start_writeback
     0.14%     +0.02%  [kernel.kallsyms]         [k] __ext4_journal_get_write_access
     0.03%     -0.02%  [kernel.kallsyms]         [k] ext4_buffered_write_iter
               +0.02%  [brcmfmac]                [k] 0x00013c20
     0.09%     +0.02%  [kernel.kallsyms]         [k] release_pages
     0.06%     +0.02%  [kernel.kallsyms]         [k] ext4_fc_track_inode
     0.06%     -0.02%  [kernel.kallsyms]         [k] kmem_cache_alloc_lru
     0.18%     +0.02%  [kernel.kallsyms]         [k] _raw_spin_lock
     0.05%     +0.02%  [kernel.kallsyms]         [k] __wake_up_bit
     0.11%     +0.02%  [vectors]                 [.] 0x00000fe0
     0.05%     -0.02%  [kernel.kallsyms]         [k] folio_clear_dirty_for_io
     0.06%     -0.02%  [kernel.kallsyms]         [k] __fsnotify_parent
     0.12%     -0.02%  [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.04%     +0.01%  [kernel.kallsyms]         [k] do_idle
     0.00%     +0.01%  [kernel.kallsyms]         [k] _atomic_dec_and_lock
     0.43%     +0.01%  [kernel.kallsyms]         [k] memset
     0.05%     -0.01%  [kernel.kallsyms]         [k] filemap_get_read_batch
     0.04%     -0.01%  [kernel.kallsyms]         [k] d_splice_alias
     0.02%     -0.01%  [kernel.kallsyms]         [k] dd_insert_requests
     0.01%     +0.01%  [kernel.kallsyms]         [k] set_pte_at
     0.39%     -0.01%  [kernel.kallsyms]         [k] kmem_cache_alloc
     0.05%     -0.01%  [kernel.kallsyms]         [k] ext4_find_dest_de
     0.05%     +0.01%  [kernel.kallsyms]         [k] worker_thread
     0.03%     +0.01%  [kernel.kallsyms]         [k] rcu_all_qs
     0.11%     -0.01%  [kernel.kallsyms]         [k] __es_insert_extent
     0.06%     +0.01%  ld-2.28.so                [.] 0x00000a30
     0.12%     +0.01%  [kernel.kallsyms]         [k] __ext4_new_inode
     0.11%     +0.01%  [kernel.kallsyms]         [k] jbd2_journal_dirty_metadata
     0.05%     -0.01%  [kernel.kallsyms]         [k] ___slab_alloc.constprop.0
     0.04%     -0.01%  [kernel.kallsyms]         [k] memcmp
     0.06%     -0.01%  [kernel.kallsyms]         [k] __ext4_iget
     0.02%     +0.01%  [kernel.kallsyms]         [k] rb_erase
     0.02%     +0.01%  [kernel.kallsyms]         [k] blk_mq_submit_bio
     0.15%     -0.01%  [kernel.kallsyms]         [k] mod_delayed_work_on
     0.01%     +0.01%  [kernel.kallsyms]         [k] load_balance
     0.03%     -0.01%  [kernel.kallsyms]         [k] mntput_no_expire
     0.01%     +0.01%  [kernel.kallsyms]         [k] do_set_pte
     0.03%     +0.01%  [kernel.kallsyms]         [k] bcm2835_request
     0.15%     -0.01%  [kernel.kallsyms]         [k] pipe_read
     0.00%     +0.01%  [kernel.kallsyms]         [k] get_cpu_idle_time_us
     0.05%     -0.01%  [kernel.kallsyms]         [k] filldir64
